,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
51,9048,4,10,1984,2,NL,F,32.0,157.0,Neotoma,albigula,Rodent,Control
52,9132,5,13,1984,2,NL,M,32.0,125.0,Neotoma,albigula,Rodent,Control
53,9270,5,28,1984,2,NL,M,33.0,125.0,Neotoma,albigula,Rodent,Control
54,9349,7,4,1984,2,NL,M,35.0,130.0,Neotoma,albigula,Rodent,Control
55,9512,8,26,1984,2,NL,F,31.0,151.0,Neotoma,albigula,Rodent,Control
56,9605,9,30,1984,2,NL,F,32.0,173.0,Neotoma,albigula,Rodent,Control
57,9703,10,21,1984,2,NL,M,30.0,126.0,Neotoma,albigula,Rodent,Control
406,8903,2,5,1984,2,DM,F,37.0,36.0,Dipodomys,merriami,Rodent,Control
407,8954,3,13,1984,2,DM,M,36.0,43.0,Dipodomys,merriami,Rodent,Control
408,8961,3,13,1984,2,DM,F,35.0,38.0,Dipodomys,merriami,Rodent,Control
409,9034,4,10,1984,2,DM,M,35.0,41.0,Dipodomys,merriami,Rodent,Control
410,9133,5,13,1984,2,DM,F,36.0,44.0,Dipodomys,merriami,Rodent,Control
411,9156,5,13,1984,2,DM,M,35.0,45.0,Dipodomys,merriami,Rodent,Control
412,9180,5,13,1984,2,DM,M,37.0,46.0,Dipodomys,merriami,Rodent,Control
413,9182,5,13,1984,2,DM,F,36.0,45.0,Dipodomys,merriami,Rodent,Control
414,9269,5,28,1984,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
415,9452,8,1,1984,2,DM,F,34.0,39.0,Dipodomys,merriami,Rodent,Control
416,9572,9,30,1984,2,DM,F,35.0,34.0,Dipodomys,merriami,Rodent,Control
417,9672,10,21,1984,2,DM,F,37.0,40.0,Dipodomys,merriami,Rodent,Control
418,9762,12,31,1984,2,DM,F,36.0,36.0,Dipodomys,merriami,Rodent,Control
419,9767,12,31,1984,2,DM,F,37.0,34.0,Dipodomys,merriami,Rodent,Control
837,9561,9,29,1984,2,PE,M,,,Peromyscus,eremicus,Rodent,Control
838,9777,12,31,1984,2,PE,M,19.0,20.0,Peromyscus,eremicus,Rodent,Control
839,9780,12,31,1984,2,PE,F,20.0,20.0,Peromyscus,eremicus,Rodent,Control
1042,8883,2,5,1984,2,DS,F,52.0,120.0,Dipodomys,spectabilis,Rodent,Control
1330,9544,9,29,1984,2,OT,,,,Onychomys,torridus,Rodent,Control
1331,9789,12,31,1984,2,OT,M,20.0,21.0,Onychomys,torridus,Rodent,Control
1515,8887,2,5,1984,2,DO,F,37.0,46.0,Dipodomys,ordii,Rodent,Control
1516,9152,5,13,1984,2,DO,F,36.0,50.0,Dipodomys,ordii,Rodent,Control
1517,9164,5,13,1984,2,DO,M,37.0,56.0,Dipodomys,ordii,Rodent,Control
1518,9514,8,26,1984,2,DO,F,33.0,36.0,Dipodomys,ordii,Rodent,Control
1519,9590,9,30,1984,2,DO,M,33.0,49.0,Dipodomys,ordii,Rodent,Control
1520,9682,10,21,1984,2,DO,F,34.0,43.0,Dipodomys,ordii,Rodent,Control
1521,9694,10,21,1984,2,DO,M,34.0,49.0,Dipodomys,ordii,Rodent,Control
1522,9754,12,31,1984,2,DO,F,34.0,51.0,Dipodomys,ordii,Rodent,Control
1523,9785,12,31,1984,2,DO,M,33.0,45.0,Dipodomys,ordii,Rodent,Control
1796,9424,8,1,1984,2,SS,,,,Spermophilus,spilosoma,Rodent,Control
1797,9571,9,30,1984,2,SS,,,,Spermophilus,spilosoma,Rodent,Control
1831,9276,5,28,1984,2,OL,F,19.0,28.0,Onychomys,leucogaster,Rodent,Control
1879,9159,5,13,1984,2,RM,F,16.0,14.0,Reithrodontomys,megalotis,Rodent,Control
1941,9157,5,13,1984,2,SA,,,,Sylvilagus,audubonii,Rabbit,Control
1942,9354,7,4,1984,2,SA,,,,Sylvilagus,audubonii,Rabbit,Control
1998,9416,8,1,1984,2,AB,,,,Amphispiza,bilineata,Bird,Control
2005,9325,7,4,1984,2,CQ,,,,Callipepla,squamata,Bird,Control
2216,8857,2,5,1984,3,NL,F,34.0,164.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2217,8870,2,5,1984,3,NL,M,36.0,241.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2218,9031,4,10,1984,3,NL,M,34.0,250.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2219,9122,5,13,1984,3,NL,M,33.0,220.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2220,9428,8,1,1984,3,NL,M,34.0,206.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2221,9497,8,26,1984,3,NL,M,33.0,211.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
