,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
17,1756,4,29,1979,2,NL,M,33.0,166.0,Neotoma,albigula,Rodent,Control
18,1818,5,30,1979,2,NL,M,32.0,184.0,Neotoma,albigula,Rodent,Control
19,1882,7,4,1979,2,NL,M,32.0,206.0,Neotoma,albigula,Rodent,Control
20,2133,10,25,1979,2,NL,F,33.0,274.0,Neotoma,albigula,Rodent,Control
21,2184,11,17,1979,2,NL,F,30.0,186.0,Neotoma,albigula,Rodent,Control
260,1581,1,29,1979,2,DM,F,38.0,42.0,Dipodomys,merriami,Rodent,Control
261,1611,1,29,1979,2,DM,F,,43.0,Dipodomys,merriami,Rodent,Control
262,1644,2,25,1979,2,DM,F,37.0,44.0,Dipodomys,merriami,Rodent,Control
263,1661,2,25,1979,2,DM,F,35.0,44.0,Dipodomys,merriami,Rodent,Control
264,1676,3,31,1979,2,DM,M,36.0,54.0,Dipodomys,merriami,Rodent,Control
265,1692,3,31,1979,2,DM,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
266,1701,3,31,1979,2,DM,F,36.0,46.0,Dipodomys,merriami,Rodent,Control
267,1768,4,29,1979,2,DM,M,39.0,43.0,Dipodomys,merriami,Rodent,Control
268,1839,5,30,1979,2,DM,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
269,1845,5,30,1979,2,DM,F,36.0,53.0,Dipodomys,merriami,Rodent,Control
270,1846,5,30,1979,2,DM,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
271,2014,8,23,1979,2,DM,M,38.0,49.0,Dipodomys,merriami,Rodent,Control
272,2060,9,23,1979,2,DM,F,35.0,46.0,Dipodomys,merriami,Rodent,Control
273,2070,9,23,1979,2,DM,M,37.0,51.0,Dipodomys,merriami,Rodent,Control
274,2122,10,25,1979,2,DM,F,35.0,35.0,Dipodomys,merriami,Rodent,Control
275,2131,10,25,1979,2,DM,F,37.0,47.0,Dipodomys,merriami,Rodent,Control
276,2176,11,17,1979,2,DM,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
277,2181,11,17,1979,2,DM,F,36.0,49.0,Dipodomys,merriami,Rodent,Control
788,2051,9,23,1979,2,PF,F,16.0,7.0,Perognathus,flavus,Rodent,Control
789,2167,11,17,1979,2,PF,F,14.0,7.0,Perognathus,flavus,Rodent,Control
810,1603,1,29,1979,2,PE,M,,26.0,Peromyscus,eremicus,Rodent,Control
959,1673,3,31,1979,2,DS,F,48.0,82.0,Dipodomys,spectabilis,Rodent,Control
960,1922,7,25,1979,2,DS,F,50.0,80.0,Dipodomys,spectabilis,Rodent,Control
1086,1898,7,4,1979,2,PP,M,20.0,10.0,Chaetodipus,penicillatus,Rodent,Control
1298,1584,1,29,1979,2,OT,M,,30.0,Onychomys,torridus,Rodent,Control
1299,1594,1,29,1979,2,OT,M,,26.0,Onychomys,torridus,Rodent,Control
1300,1924,7,25,1979,2,OT,F,19.0,25.0,Onychomys,torridus,Rodent,Control
1301,2003,8,23,1979,2,OT,F,21.0,27.0,Onychomys,torridus,Rodent,Control
1302,2011,8,23,1979,2,OT,M,21.0,20.0,Onychomys,torridus,Rodent,Control
1303,2050,9,23,1979,2,OT,F,20.0,23.0,Onychomys,torridus,Rodent,Control
1304,2054,9,23,1979,2,OT,F,20.0,29.0,Onychomys,torridus,Rodent,Control
1807,1573,1,29,1979,2,OL,F,19.0,31.0,Onychomys,leucogaster,Rodent,Control
1808,1597,1,29,1979,2,OL,F,,39.0,Onychomys,leucogaster,Rodent,Control
1809,1646,2,25,1979,2,OL,F,20.0,30.0,Onychomys,leucogaster,Rodent,Control
1810,2163,11,17,1979,2,OL,F,21.0,34.0,Onychomys,leucogaster,Rodent,Control
1811,2178,11,17,1979,2,OL,F,19.0,35.0,Onychomys,leucogaster,Rodent,Control
1812,2183,11,17,1979,2,OL,M,21.0,36.0,Onychomys,leucogaster,Rodent,Control
