,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
177,31717,1,21,2001,2,NL,M,33.0,121.0,Neotoma,albigula,Rodent,Control
178,31721,1,21,2001,2,NL,F,31.0,158.0,Neotoma,albigula,Rodent,Control
179,31862,3,24,2001,2,NL,F,32.0,252.0,Neotoma,albigula,Rodent,Control
180,31946,4,21,2001,2,NL,F,33.0,145.0,Neotoma,albigula,Rodent,Control
181,32045,5,26,2001,2,NL,M,32.0,135.0,Neotoma,albigula,Rodent,Control
182,32167,6,25,2001,2,NL,F,30.0,173.0,Neotoma,albigula,Rodent,Control
183,32391,8,25,2001,2,NL,F,33.0,193.0,Neotoma,albigula,Rodent,Control
184,32817,10,13,2001,2,NL,F,29.0,72.0,Neotoma,albigula,Rodent,Control
185,33040,11,17,2001,2,NL,F,31.0,119.0,Neotoma,albigula,Rodent,Control
186,33041,11,17,2001,2,NL,F,33.0,213.0,Neotoma,albigula,Rodent,Control
187,33237,12,15,2001,2,NL,F,33.0,126.0,Neotoma,albigula,Rodent,Control
188,33238,12,15,2001,2,NL,F,32.0,198.0,Neotoma,albigula,Rodent,Control
742,31718,1,21,2001,2,DM,F,34.0,44.0,Dipodomys,merriami,Rodent,Control
743,31792,3,3,2001,2,DM,F,35.0,45.0,Dipodomys,merriami,Rodent,Control
744,31858,3,24,2001,2,DM,M,37.0,53.0,Dipodomys,merriami,Rodent,Control
745,31859,3,24,2001,2,DM,F,36.0,60.0,Dipodomys,merriami,Rodent,Control
746,31860,3,24,2001,2,DM,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
747,31861,3,24,2001,2,DM,M,37.0,48.0,Dipodomys,merriami,Rodent,Control
748,31945,4,21,2001,2,DM,F,35.0,47.0,Dipodomys,merriami,Rodent,Control
749,31948,4,21,2001,2,DM,M,37.0,52.0,Dipodomys,merriami,Rodent,Control
750,32380,8,25,2001,2,DM,F,36.0,49.0,Dipodomys,merriami,Rodent,Control
751,32386,8,25,2001,2,DM,M,36.0,46.0,Dipodomys,merriami,Rodent,Control
