,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
26,4667,7,8,1981,2,NL,F,30.0,130.0,Neotoma,albigula,Rodent,Control
27,4859,10,1,1981,2,NL,M,34.0,208.0,Neotoma,albigula,Rodent,Control
28,5048,11,23,1981,2,NL,M,34.0,192.0,Neotoma,albigula,Rodent,Control
325,3738,1,12,1981,2,DM,M,35.0,47.0,Dipodomys,merriami,Rodent,Control
326,3741,1,12,1981,2,DM,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
327,3781,1,12,1981,2,DM,M,35.0,54.0,Dipodomys,merriami,Rodent,Control
328,3790,1,12,1981,2,DM,M,35.0,41.0,Dipodomys,merriami,Rodent,Control
329,3867,2,1,1981,2,DM,M,37.0,48.0,Dipodomys,merriami,Rodent,Control
330,3877,2,1,1981,2,DM,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
331,3889,2,1,1981,2,DM,M,36.0,48.0,Dipodomys,merriami,Rodent,Control
332,3897,2,1,1981,2,DM,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
333,3899,2,1,1981,2,DM,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
334,3901,2,1,1981,2,DM,M,37.0,39.0,Dipodomys,merriami,Rodent,Control
335,3947,3,9,1981,2,DM,M,35.0,51.0,Dipodomys,merriami,Rodent,Control
336,3960,3,9,1981,2,DM,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
337,3979,3,9,1981,2,DM,F,34.0,51.0,Dipodomys,merriami,Rodent,Control
338,3998,3,9,1981,2,DM,F,36.0,30.0,Dipodomys,merriami,Rodent,Control
339,4004,3,9,1981,2,DM,M,36.0,40.0,Dipodomys,merriami,Rodent,Control
340,4198,4,6,1981,2,DM,M,,50.0,Dipodomys,merriami,Rodent,Control
341,4238,4,6,1981,2,DM,M,,46.0,Dipodomys,merriami,Rodent,Control
342,4243,4,6,1981,2,DM,F,,44.0,Dipodomys,merriami,Rodent,Control
343,4251,4,6,1981,2,DM,F,,47.0,Dipodomys,merriami,Rodent,Control
344,4268,4,6,1981,2,DM,F,,50.0,Dipodomys,merriami,Rodent,Control
345,4271,4,6,1981,2,DM,F,,45.0,Dipodomys,merriami,Rodent,Control
346,4276,4,6,1981,2,DM,M,,46.0,Dipodomys,merriami,Rodent,Control
347,4306,4,6,1981,2,DM,M,,41.0,Dipodomys,merriami,Rodent,Control
348,4317,4,6,1981,2,DM,M,,51.0,Dipodomys,merriami,Rodent,Control
349,4320,4,6,1981,2,DM,F,,46.0,Dipodomys,merriami,Rodent,Control
350,4341,4,6,1981,2,DM,M,,43.0,Dipodomys,merriami,Rodent,Control
351,4347,4,6,1981,2,DM,F,,34.0,Dipodomys,merriami,Rodent,Control
352,4452,5,4,1981,2,DM,M,36.0,48.0,Dipodomys,merriami,Rodent,Control
353,4482,5,4,1981,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
354,4520,6,4,1981,2,DM,M,34.0,38.0,Dipodomys,merriami,Rodent,Control
355,4548,6,4,1981,2,DM,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
356,4685,7,8,1981,2,DM,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
357,4693,7,30,1981,2,DM,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
358,4714,7,30,1981,2,DM,M,37.0,45.0,Dipodomys,merriami,Rodent,Control
359,4952,10,26,1981,2,DM,F,37.0,38.0,Dipodomys,merriami,Rodent,Control
360,5044,11,23,1981,2,DM,F,36.0,36.0,Dipodomys,merriami,Rodent,Control
361,5063,11,23,1981,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
793,4283,4,6,1981,2,PF,M,,5.0,Perognathus,flavus,Rodent,Control
813,5071,11,23,1981,2,PE,M,19.0,19.0,Peromyscus,eremicus,Rodent,Control
814,5074,11,23,1981,2,PE,M,21.0,19.0,Peromyscus,eremicus,Rodent,Control
815,5076,11,23,1981,2,PE,F,21.0,19.0,Peromyscus,eremicus,Rodent,Control
970,3778,1,12,1981,2,DS,F,51.0,150.0,Dipodomys,spectabilis,Rodent,Control
971,3869,2,1,1981,2,DS,F,51.0,136.0,Dipodomys,spectabilis,Rodent,Control
972,3875,2,1,1981,2,DS,M,48.0,130.0,Dipodomys,spectabilis,Rodent,Control
973,3958,3,9,1981,2,DS,M,55.0,148.0,Dipodomys,spectabilis,Rodent,Control
974,3973,3,9,1981,2,DS,F,53.0,159.0,Dipodomys,spectabilis,Rodent,Control
975,3976,3,9,1981,2,DS,M,51.0,89.0,Dipodomys,spectabilis,Rodent,Control
976,3977,3,9,1981,2,DS,M,48.0,75.0,Dipodomys,spectabilis,Rodent,Control
977,3980,3,9,1981,2,DS,M,48.0,77.0,Dipodomys,spectabilis,Rodent,Control
978,4190,4,6,1981,2,DS,F,,131.0,Dipodomys,spectabilis,Rodent,Control
979,4203,4,6,1981,2,DS,M,,147.0,Dipodomys,spectabilis,Rodent,Control
980,4216,4,6,1981,2,DS,M,,86.0,Dipodomys,spectabilis,Rodent,Control
981,4221,4,6,1981,2,DS,M,,95.0,Dipodomys,spectabilis,Rodent,Control
982,4225,4,6,1981,2,DS,M,,145.0,Dipodomys,spectabilis,Rodent,Control
983,4230,4,6,1981,2,DS,F,,130.0,Dipodomys,spectabilis,Rodent,Control
984,4233,4,6,1981,2,DS,M,,81.0,Dipodomys,spectabilis,Rodent,Control
985,4248,4,6,1981,2,DS,M,,137.0,Dipodomys,spectabilis,Rodent,Control
986,4299,4,6,1981,2,DS,,,140.0,Dipodomys,spectabilis,Rodent,Control
987,4334,4,6,1981,2,DS,M,,125.0,Dipodomys,spectabilis,Rodent,Control
988,4447,5,4,1981,2,DS,M,51.0,74.0,Dipodomys,spectabilis,Rodent,Control
989,4449,5,4,1981,2,DS,F,57.0,136.0,Dipodomys,spectabilis,Rodent,Control
990,4514,6,4,1981,2,DS,F,55.0,140.0,Dipodomys,spectabilis,Rodent,Control
991,4517,6,4,1981,2,DS,M,52.0,78.0,Dipodomys,spectabilis,Rodent,Control
992,4648,7,8,1981,2,DS,F,53.0,144.0,Dipodomys,spectabilis,Rodent,Control
993,4858,10,1,1981,2,DS,F,52.0,151.0,Dipodomys,spectabilis,Rodent,Control
994,4948,10,26,1981,2,DS,F,54.0,172.0,Dipodomys,spectabilis,Rodent,Control
995,5013,11,23,1981,2,DS,M,49.0,144.0,Dipodomys,spectabilis,Rodent,Control
996,5027,11,23,1981,2,DS,F,51.0,142.0,Dipodomys,spectabilis,Rodent,Control
1310,3740,1,12,1981,2,OT,M,20.0,27.0,Onychomys,torridus,Rodent,Control
1311,4315,4,6,1981,2,OT,F,,25.0,Onychomys,torridus,Rodent,Control
1312,4956,10,26,1981,2,OT,M,22.0,22.0,Onychomys,torridus,Rodent,Control
1313,4958,10,26,1981,2,OT,F,21.0,22.0,Onychomys,torridus,Rodent,Control
1314,5018,11,23,1981,2,OT,M,21.0,23.0,Onychomys,torridus,Rodent,Control
1315,5020,11,23,1981,2,OT,F,20.0,22.0,Onychomys,torridus,Rodent,Control
1487,3739,1,12,1981,2,DO,M,34.0,45.0,Dipodomys,ordii,Rodent,Control
1488,3797,1,12,1981,2,DO,F,37.0,43.0,Dipodomys,ordii,Rodent,Control
1489,3885,2,1,1981,2,DO,M,35.0,47.0,Dipodomys,ordii,Rodent,Control
1490,3902,2,1,1981,2,DO,F,37.0,49.0,Dipodomys,ordii,Rodent,Control
1491,4193,4,6,1981,2,DO,F,,46.0,Dipodomys,ordii,Rodent,Control
1492,4257,4,6,1981,2,DO,M,,51.0,Dipodomys,ordii,Rodent,Control
1493,4287,4,6,1981,2,DO,F,,54.0,Dipodomys,ordii,Rodent,Control
1494,4318,4,6,1981,2,DO,M,,46.0,Dipodomys,ordii,Rodent,Control
1822,3799,1,12,1981,2,OL,M,20.0,39.0,Onychomys,leucogaster,Rodent,Control
1823,3804,1,12,1981,2,OL,F,20.0,34.0,Onychomys,leucogaster,Rodent,Control
1824,3893,2,1,1981,2,OL,F,20.0,34.0,Onychomys,leucogaster,Rodent,Control
