,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
0,1,7,16,1977,2,NL,M,32.0,,Neotoma,albigula,Rodent,Control
1,72,8,19,1977,2,NL,M,31.0,,Neotoma,albigula,Rodent,Control
2,224,9,13,1977,2,NL,,,,Neotoma,albigula,Rodent,Control
3,266,10,16,1977,2,NL,,,,Neotoma,albigula,Rodent,Control
4,349,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent,Control
5,363,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent,Control
6,435,12,10,1977,2,NL,,,,Neotoma,albigula,Rodent,Control
201,3,7,16,1977,2,DM,F,37.0,,Dipodomys,merriami,Rodent,Control
202,226,9,13,1977,2,DM,M,37.0,51.0,Dipodomys,merriami,Rodent,Control
203,233,9,13,1977,2,DM,M,25.0,44.0,Dipodomys,merriami,Rodent,Control
204,245,10,16,1977,2,DM,M,37.0,39.0,Dipodomys,merriami,Rodent,Control
205,251,10,16,1977,2,DM,M,36.0,49.0,Dipodomys,merriami,Rodent,Control
206,257,10,16,1977,2,DM,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
207,259,10,16,1977,2,DM,M,36.0,41.0,Dipodomys,merriami,Rodent,Control
208,268,10,16,1977,2,DM,F,36.0,55.0,Dipodomys,merriami,Rodent,Control
209,346,11,12,1977,2,DM,F,37.0,36.0,Dipodomys,merriami,Rodent,Control
210,350,11,12,1977,2,DM,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
211,354,11,12,1977,2,DM,M,38.0,44.0,Dipodomys,merriami,Rodent,Control
212,361,11,12,1977,2,DM,F,36.0,40.0,Dipodomys,merriami,Rodent,Control
213,422,12,10,1977,2,DM,F,37.0,42.0,Dipodomys,merriami,Rodent,Control
214,424,12,10,1977,2,DM,M,37.0,52.0,Dipodomys,merriami,Rodent,Control
215,427,12,10,1977,2,DM,F,37.0,37.0,Dipodomys,merriami,Rodent,Control
216,438,12,10,1977,2,DM,M,36.0,47.0,Dipodomys,merriami,Rodent,Control
217,449,12,10,1977,2,DM,M,35.0,43.0,Dipodomys,merriami,Rodent,Control
779,69,8,19,1977,2,PF,M,15.0,8.0,Perognathus,flavus,Rodent,Control
780,432,12,10,1977,2,PF,,,,Perognathus,flavus,Rodent,Control
800,7,7,16,1977,2,PE,F,,,Peromyscus,eremicus,Rodent,Control
801,238,9,13,1977,2,PE,M,20.0,19.0,Peromyscus,eremicus,Rodent,Control
802,279,10,16,1977,2,PE,F,19.0,,Peromyscus,eremicus,Rodent,Control
946,220,9,13,1977,2,DS,M,52.0,,Dipodomys,spectabilis,Rodent,Control
947,247,10,16,1977,2,DS,M,54.0,,Dipodomys,spectabilis,Rodent,Control
1083,18,7,16,1977,2,PP,M,22.0,,Chaetodipus,penicillatus,Rodent,Control
1285,355,11,12,1977,2,OT,,,,Onychomys,torridus,Rodent,Control
1286,431,12,10,1977,2,OT,,,,Onychomys,torridus,Rodent,Control
1287,446,12,10,1977,2,OT,,,,Onychomys,torridus,Rodent,Control
1288,452,12,10,1977,2,OT,,,,Onychomys,torridus,Rodent,Control
1792,242,9,13,1977,2,OX,M,19.0,22.0,Onychomys,sp.,Rodent,Control
1801,274,10,16,1977,2,OL,F,20.0,21.0,Onychomys,leucogaster,Rodent,Control
1802,366,11,12,1977,2,OL,,,,Onychomys,leucogaster,Rodent,Control
1803,441,12,10,1977,2,OL,,,,Onychomys,leucogaster,Rodent,Control
2191,2,7,16,1977,3,NL,M,33.0,,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2192,344,10,18,1977,3,NL,,,,Neotoma,albigula,Rodent,Long-term Krat Exclosure
2288,5,7,16,1977,3,DM,M,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2289,13,7,16,1977,3,DM,M,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2290,63,8,19,1977,3,DM,M,35.0,40.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2291,221,9,13,1977,3,DM,,,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2292,303,10,17,1977,3,DM,M,36.0,31.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2293,315,10,17,1977,3,DM,M,36.0,39.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
2395,498,12,11,1977,3,PF,M,16.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
2590,17,7,16,1977,3,DS,F,48.0,,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
2591,73,8,19,1977,3,DS,F,44.0,,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
2592,241,9,13,1977,3,DS,,,,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
2608,217,9,13,1977,3,PP,F,19.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
3014,478,12,11,1977,3,OT,,,,Onychomys,torridus,Rodent,Long-term Krat Exclosure
3168,292,10,17,1977,3,DO,F,36.0,33.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
3169,294,10,17,1977,3,DO,F,37.0,50.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
3251,70,8,19,1977,3,OX,F,21.0,22.0,Onychomys,sp.,Rodent,Long-term Krat Exclosure
3999,22,7,17,1977,15,NL,F,31.0,,Neotoma,albigula,Rodent,Long-term Krat Exclosure
4000,121,8,21,1977,15,NL,,,,Neotoma,albigula,Rodent,Long-term Krat Exclosure
4047,26,7,17,1977,15,DM,M,31.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4048,27,7,17,1977,15,DM,M,36.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4049,31,7,17,1977,15,DM,F,37.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4050,114,8,21,1977,15,DM,F,32.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4051,128,8,21,1977,15,DM,M,34.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4052,133,8,21,1977,15,DM,M,37.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4053,135,8,21,1977,15,DM,F,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4054,143,8,21,1977,15,DM,M,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4055,225,9,13,1977,15,DM,,,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4056,227,9,13,1977,15,DM,,,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4057,230,9,13,1977,15,DM,,,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4058,316,10,17,1977,15,DM,M,37.0,48.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
4325,144,8,21,1977,15,DS,M,40.0,,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
4326,231,9,13,1977,15,DS,,,,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
5023,38,7,17,1977,17,NL,M,33.0,,Neotoma,albigula,Rodent,Control
5024,214,9,12,1977,17,NL,,,,Neotoma,albigula,Rodent,Control
5025,495,12,11,1977,17,NL,,,,Neotoma,albigula,Rodent,Control
5129,34,7,17,1977,17,DM,,,,Dipodomys,merriami,Rodent,Control
5130,118,8,21,1977,17,DM,M,33.0,,Dipodomys,merriami,Rodent,Control
5131,123,8,21,1977,17,DM,M,37.0,,Dipodomys,merriami,Rodent,Control
5132,142,8,21,1977,17,DM,F,34.0,,Dipodomys,merriami,Rodent,Control
5133,187,9,12,1977,17,DM,M,36.0,46.0,Dipodomys,merriami,Rodent,Control
5134,189,9,12,1977,17,DM,F,33.0,37.0,Dipodomys,merriami,Rodent,Control
5135,202,9,12,1977,17,DM,F,32.0,48.0,Dipodomys,merriami,Rodent,Control
5136,209,9,12,1977,17,DM,F,35.0,42.0,Dipodomys,merriami,Rodent,Control
5137,287,10,17,1977,17,DM,M,38.0,41.0,Dipodomys,merriami,Rodent,Control
5138,288,10,17,1977,17,DM,M,37.0,48.0,Dipodomys,merriami,Rodent,Control
5139,290,10,17,1977,17,DM,F,33.0,,Dipodomys,merriami,Rodent,Control
5140,318,10,17,1977,17,DM,M,33.0,29.0,Dipodomys,merriami,Rodent,Control
5141,320,10,17,1977,17,DM,F,35.0,39.0,Dipodomys,merriami,Rodent,Control
5142,380,11,13,1977,17,DM,F,33.0,38.0,Dipodomys,merriami,Rodent,Control
5143,382,11,13,1977,17,DM,M,37.0,40.0,Dipodomys,merriami,Rodent,Control
5144,399,11,13,1977,17,DM,F,36.0,39.0,Dipodomys,merriami,Rodent,Control
5145,462,12,11,1977,17,DM,M,36.0,40.0,Dipodomys,merriami,Rodent,Control
5146,481,12,11,1977,17,DM,F,35.0,37.0,Dipodomys,merriami,Rodent,Control
5147,482,12,11,1977,17,DM,M,37.0,46.0,Dipodomys,merriami,Rodent,Control
