,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
41,8022,6,18,1983,2,NL,F,30.0,126.0,Neotoma,albigula,Rodent,Control
42,8263,8,16,1983,2,NL,F,32.0,147.0,Neotoma,albigula,Rodent,Control
43,8387,9,11,1983,2,NL,F,32.0,138.0,Neotoma,albigula,Rodent,Control
44,8394,9,11,1983,2,NL,F,32.0,161.0,Neotoma,albigula,Rodent,Control
45,8407,9,11,1983,2,NL,M,33.0,148.0,Neotoma,albigula,Rodent,Control
46,8514,10,16,1983,2,NL,F,32.0,151.0,Neotoma,albigula,Rodent,Control
47,8543,10,16,1983,2,NL,F,31.0,175.0,Neotoma,albigula,Rodent,Control
48,8657,11,13,1983,2,NL,F,32.0,158.0,Neotoma,albigula,Rodent,Control
49,8675,11,13,1983,2,NL,F,32.0,164.0,Neotoma,albigula,Rodent,Control
50,8755,12,9,1983,2,NL,F,32.0,150.0,Neotoma,albigula,Rodent,Control
385,7246,1,13,1983,2,DM,M,36.0,40.0,Dipodomys,merriami,Rodent,Control
386,7294,1,13,1983,2,DM,F,35.0,36.0,Dipodomys,merriami,Rodent,Control
387,7402,2,27,1983,2,DM,M,35.0,44.0,Dipodomys,merriami,Rodent,Control
388,7420,2,27,1983,2,DM,F,36.0,42.0,Dipodomys,merriami,Rodent,Control
389,7553,3,15,1983,2,DM,M,37.0,43.0,Dipodomys,merriami,Rodent,Control
390,7558,3,15,1983,2,DM,F,35.0,36.0,Dipodomys,merriami,Rodent,Control
391,7715,4,17,1983,2,DM,M,36.0,45.0,Dipodomys,merriami,Rodent,Control
392,7723,4,17,1983,2,DM,F,37.0,39.0,Dipodomys,merriami,Rodent,Control
393,7735,4,17,1983,2,DM,M,37.0,41.0,Dipodomys,merriami,Rodent,Control
394,7884,5,15,1983,2,DM,F,36.0,40.0,Dipodomys,merriami,Rodent,Control
395,7895,5,15,1983,2,DM,M,36.0,48.0,Dipodomys,merriami,Rodent,Control
396,7916,5,15,1983,2,DM,M,36.0,46.0,Dipodomys,merriami,Rodent,Control
397,8125,7,17,1983,2,DM,M,35.0,38.0,Dipodomys,merriami,Rodent,Control
398,8235,8,16,1983,2,DM,M,36.0,38.0,Dipodomys,merriami,Rodent,Control
399,8339,9,11,1983,2,DM,M,34.0,38.0,Dipodomys,merriami,Rodent,Control
400,8359,9,11,1983,2,DM,F,35.0,42.0,Dipodomys,merriami,Rodent,Control
401,8413,9,11,1983,2,DM,M,36.0,43.0,Dipodomys,merriami,Rodent,Control
402,8494,10,16,1983,2,DM,M,34.0,37.0,Dipodomys,merriami,Rodent,Control
403,8631,11,13,1983,2,DM,M,35.0,37.0,Dipodomys,merriami,Rodent,Control
404,8656,11,13,1983,2,DM,F,35.0,37.0,Dipodomys,merriami,Rodent,Control
405,8800,12,9,1983,2,DM,F,36.0,37.0,Dipodomys,merriami,Rodent,Control
797,7784,4,17,1983,2,PF,M,16.0,7.0,Perognathus,flavus,Rodent,Control
832,7311,1,13,1983,2,PE,M,20.0,21.0,Peromyscus,eremicus,Rodent,Control
833,7417,2,27,1983,2,PE,M,19.0,22.0,Peromyscus,eremicus,Rodent,Control
834,7440,2,27,1983,2,PE,F,19.0,23.0,Peromyscus,eremicus,Rodent,Control
835,7578,3,15,1983,2,PE,M,21.0,26.0,Peromyscus,eremicus,Rodent,Control
836,7742,4,17,1983,2,PE,F,21.0,19.0,Peromyscus,eremicus,Rodent,Control
1024,7260,1,13,1983,2,DS,M,51.0,148.0,Dipodomys,spectabilis,Rodent,Control
1025,7378,2,27,1983,2,DS,M,52.0,141.0,Dipodomys,spectabilis,Rodent,Control
1026,7564,3,15,1983,2,DS,M,50.0,91.0,Dipodomys,spectabilis,Rodent,Control
1027,7600,3,15,1983,2,DS,M,52.0,144.0,Dipodomys,spectabilis,Rodent,Control
1028,7730,4,17,1983,2,DS,M,50.0,91.0,Dipodomys,spectabilis,Rodent,Control
1029,7891,5,15,1983,2,DS,M,54.0,139.0,Dipodomys,spectabilis,Rodent,Control
1030,8001,6,18,1983,2,DS,M,53.0,136.0,Dipodomys,spectabilis,Rodent,Control
