,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
65,11329,3,9,1986,2,NL,M,34.0,240.0,Neotoma,albigula,Rodent,Control
66,11496,5,11,1986,2,NL,F,31.0,163.0,Neotoma,albigula,Rodent,Control
67,11498,5,11,1986,2,NL,F,31.0,82.0,Neotoma,albigula,Rodent,Control
68,11611,6,5,1986,2,NL,F,32.0,110.0,Neotoma,albigula,Rodent,Control
69,11628,6,5,1986,2,NL,M,34.0,227.0,Neotoma,albigula,Rodent,Control
70,11709,7,4,1986,2,NL,F,31.0,184.0,Neotoma,albigula,Rodent,Control
71,11877,9,7,1986,2,NL,M,34.0,202.0,Neotoma,albigula,Rodent,Control
72,11879,9,7,1986,2,NL,F,32.0,135.0,Neotoma,albigula,Rodent,Control
73,11887,9,7,1986,2,NL,M,33.0,177.0,Neotoma,albigula,Rodent,Control
74,11953,10,5,1986,2,NL,M,33.0,221.0,Neotoma,albigula,Rodent,Control
478,11284,3,9,1986,2,DM,M,38.0,44.0,Dipodomys,merriami,Rodent,Control
479,11291,3,9,1986,2,DM,F,37.0,40.0,Dipodomys,merriami,Rodent,Control
480,11304,3,9,1986,2,DM,M,36.0,48.0,Dipodomys,merriami,Rodent,Control
481,11305,3,9,1986,2,DM,F,36.0,49.0,Dipodomys,merriami,Rodent,Control
482,11316,3,9,1986,2,DM,F,36.0,38.0,Dipodomys,merriami,Rodent,Control
483,11327,3,9,1986,2,DM,M,37.0,50.0,Dipodomys,merriami,Rodent,Control
484,11387,4,13,1986,2,DM,M,37.0,42.0,Dipodomys,merriami,Rodent,Control
485,11388,4,13,1986,2,DM,F,37.0,42.0,Dipodomys,merriami,Rodent,Control
486,11391,4,13,1986,2,DM,M,34.0,26.0,Dipodomys,merriami,Rodent,Control
487,11408,4,13,1986,2,DM,F,35.0,49.0,Dipodomys,merriami,Rodent,Control
488,11421,4,13,1986,2,DM,M,38.0,44.0,Dipodomys,merriami,Rodent,Control
489,11489,5,11,1986,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
490,11514,5,11,1986,2,DM,M,38.0,37.0,Dipodomys,merriami,Rodent,Control
