,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
145,27734,3,29,1998,2,NL,F,33.0,188.0,Neotoma,albigula,Rodent,Control
146,27781,5,2,1998,2,NL,,,200.0,Neotoma,albigula,Rodent,Control
147,27860,5,28,1998,2,NL,F,33.0,190.0,Neotoma,albigula,Rodent,Control
148,27897,5,28,1998,2,NL,M,21.0,110.0,Neotoma,albigula,Rodent,Control
149,27919,5,28,1998,2,NL,F,34.0,158.0,Neotoma,albigula,Rodent,Control
150,28022,6,27,1998,2,NL,F,31.0,182.0,Neotoma,albigula,Rodent,Control
151,28077,6,27,1998,2,NL,M,30.0,132.0,Neotoma,albigula,Rodent,Control
152,28328,8,22,1998,2,NL,F,30.0,143.0,Neotoma,albigula,Rodent,Control
153,28551,9,20,1998,2,NL,M,31.0,178.0,Neotoma,albigula,Rodent,Control
154,28556,9,20,1998,2,NL,M,30.0,149.0,Neotoma,albigula,Rodent,Control
155,28662,10,24,1998,2,NL,M,34.0,168.0,Neotoma,albigula,Rodent,Control
156,28928,12,22,1998,2,NL,F,31.0,165.0,Neotoma,albigula,Rodent,Control
697,27444,1,31,1998,2,DM,F,36.0,41.0,Dipodomys,merriami,Rodent,Control
698,27458,1,31,1998,2,DM,M,35.0,46.0,Dipodomys,merriami,Rodent,Control
699,27559,3,1,1998,2,DM,M,35.0,,Dipodomys,merriami,Rodent,Control
700,27567,3,1,1998,2,DM,F,36.0,,Dipodomys,merriami,Rodent,Control
701,27686,3,29,1998,2,DM,M,35.0,43.0,Dipodomys,merriami,Rodent,Control
702,27701,3,29,1998,2,DM,M,34.0,45.0,Dipodomys,merriami,Rodent,Control
703,27702,3,29,1998,2,DM,M,35.0,48.0,Dipodomys,merriami,Rodent,Control
704,27704,3,29,1998,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
705,27715,3,29,1998,2,DM,M,37.0,43.0,Dipodomys,merriami,Rodent,Control
706,27747,5,2,1998,2,DM,M,35.0,45.0,Dipodomys,merriami,Rodent,Control
707,27753,5,2,1998,2,DM,F,37.0,58.0,Dipodomys,merriami,Rodent,Control
708,27776,5,2,1998,2,DM,M,35.0,46.0,Dipodomys,merriami,Rodent,Control
709,27778,5,2,1998,2,DM,M,36.0,53.0,Dipodomys,merriami,Rodent,Control
710,27862,5,28,1998,2,DM,M,37.0,51.0,Dipodomys,merriami,Rodent,Control
711,27884,5,28,1998,2,DM,M,35.0,21.0,Dipodomys,merriami,Rodent,Control
712,27896,5,28,1998,2,DM,F,37.0,45.0,Dipodomys,merriami,Rodent,Control
713,27909,5,28,1998,2,DM,M,37.0,52.0,Dipodomys,merriami,Rodent,Control
714,28019,6,27,1998,2,DM,M,37.0,33.0,Dipodomys,merriami,Rodent,Control
715,28065,6,27,1998,2,DM,M,37.0,32.0,Dipodomys,merriami,Rodent,Control
716,28067,6,27,1998,2,DM,M,35.0,44.0,Dipodomys,merriami,Rodent,Control
717,28177,7,18,1998,2,DM,M,37.0,40.0,Dipodomys,merriami,Rodent,Control
718,28184,7,18,1998,2,DM,F,36.0,48.0,Dipodomys,merriami,Rodent,Control
719,28323,8,22,1998,2,DM,M,36.0,45.0,Dipodomys,merriami,Rodent,Control
720,28550,9,20,1998,2,DM,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
721,28554,9,20,1998,2,DM,M,35.0,36.0,Dipodomys,merriami,Rodent,Control
722,28561,9,20,1998,2,DM,M,35.0,28.0,Dipodomys,merriami,Rodent,Control
723,28660,10,24,1998,2,DM,M,39.0,37.0,Dipodomys,merriami,Rodent,Control
724,28663,10,24,1998,2,DM,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
