,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
189,33339,1,12,2002,2,NL,,,,Neotoma,albigula,Rodent,Control
190,33415,2,9,2002,2,NL,M,33.0,120.0,Neotoma,albigula,Rodent,Control
191,33583,3,13,2002,2,NL,M,32.0,136.0,Neotoma,albigula,Rodent,Control
192,33586,3,13,2002,2,NL,F,32.0,196.0,Neotoma,albigula,Rodent,Control
193,33837,4,17,2002,2,NL,F,,190.0,Neotoma,albigula,Rodent,Control
194,33847,4,17,2002,2,NL,F,30.0,149.0,Neotoma,albigula,Rodent,Control
195,33966,5,15,2002,2,NL,F,31.0,188.0,Neotoma,albigula,Rodent,Control
196,34198,6,15,2002,2,NL,F,31.0,139.0,Neotoma,albigula,Rodent,Control
197,34783,10,5,2002,2,NL,M,36.0,226.0,Neotoma,albigula,Rodent,Control
198,34991,11,9,2002,2,NL,M,33.0,238.0,Neotoma,albigula,Rodent,Control
199,35212,12,7,2002,2,NL,M,33.0,248.0,Neotoma,albigula,Rodent,Control
200,35404,12,29,2002,2,NL,F,30.0,,Neotoma,albigula,Rodent,Control
763,33329,1,12,2002,2,DM,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
764,33336,1,12,2002,2,DM,F,35.0,45.0,Dipodomys,merriami,Rodent,Control
765,33410,2,9,2002,2,DM,F,35.0,46.0,Dipodomys,merriami,Rodent,Control
766,33579,3,13,2002,2,DM,F,36.0,43.0,Dipodomys,merriami,Rodent,Control
767,33580,3,13,2002,2,DM,M,36.0,55.0,Dipodomys,merriami,Rodent,Control
768,33581,3,13,2002,2,DM,M,36.0,50.0,Dipodomys,merriami,Rodent,Control
769,33842,4,17,2002,2,DM,F,35.0,51.0,Dipodomys,merriami,Rodent,Control
770,33844,4,17,2002,2,DM,F,34.0,30.0,Dipodomys,merriami,Rodent,Control
771,33958,5,15,2002,2,DM,F,36.0,41.0,Dipodomys,merriami,Rodent,Control
772,34192,6,15,2002,2,DM,F,35.0,50.0,Dipodomys,merriami,Rodent,Control
773,34428,7,13,2002,2,DM,F,34.0,46.0,Dipodomys,merriami,Rodent,Control
774,34672,9,8,2002,2,DM,F,37.0,45.0,Dipodomys,merriami,Rodent,Control
775,34985,11,9,2002,2,DM,M,35.0,55.0,Dipodomys,merriami,Rodent,Control
776,34987,11,9,2002,2,DM,M,35.0,45.0,Dipodomys,merriami,Rodent,Control
777,35210,12,7,2002,2,DM,M,35.0,48.0,Dipodomys,merriami,Rodent,Control
778,35397,12,29,2002,2,DM,F,34.0,34.0,Dipodomys,merriami,Rodent,Control
938,33331,1,12,2002,2,PE,F,21.0,23.0,Peromyscus,eremicus,Rodent,Control
939,33411,2,9,2002,2,PE,M,19.0,25.0,Peromyscus,eremicus,Rodent,Control
940,33953,5,15,2002,2,PE,F,20.0,16.0,Peromyscus,eremicus,Rodent,Control
941,33963,5,15,2002,2,PE,M,20.0,21.0,Peromyscus,eremicus,Rodent,Control
942,34194,6,15,2002,2,PE,F,21.0,25.0,Peromyscus,eremicus,Rodent,Control
943,34426,7,13,2002,2,PE,F,21.0,22.0,Peromyscus,eremicus,Rodent,Control
